Name,Google Play Price,App Store Price
Ticket Camp - フリマよりも安心で簡単なチケットアプリ,,0.0
UA Shop by Under Armour,,0.0
UNiDAYS: Student Discounts for Shopping Top Brands,,0.0
Vestiaire Collective - Pre-Owned Luxury Fashion,,0.0
Victoria’s Secret – The Sexiest Bras & Lingerie,,0.0
WEAR - Fashion Lookbook,,0.0
"Walgreens – Pharmacy, Photo, Coupons and Shopping",,0.0
"Walmart: Free 2-Day Shipping,* Easy Store Shopping",,0.0
"Wayfair - Shop Furniture, Home Decor, Daily Sales",,0.0
Whole Foods Market,,0.0
Wish - Shopping Made Fun,,0.0
ZARA,,0.0
"Zappos: shop shoes & clothes, fast free shipping",,0.0
boohoo.com,,0.0
eBay Kleinanzeigen - Free. Easy. Local.,,0.0
"eBay: Best App to Buy, Sell, Save! Online Shopping",,0.0
gogogo,,0.0
letgo: Buy & Sell Second Hand Stuff,,0.0
minne - shopping handmade item,,0.0
shopkick - Shopping Rewards & Discounts,,0.0
vente-privee,,0.0
ハニーズアプリ,,0.0
ファッション通販 ZOZOTOWN,,0.0
フリル(FRIL) - 満足度No.1 のフリマアプリ,,0.0
ヤフオク! 利用者数NO.1のオークション、フリマアプリ,,0.0
ヨドバシ,,0.0
京东 HD,,0.0
唯品会 HD 全球精选，正品特卖,,0.0
唯品会-欢乐颂2独家电商 同款热卖,,0.0
国美在线 – 新人免费领200元优惠券,,0.0
地元の掲示板「ジモティー」地元でカンタン！フリマよりもお得！,,0.0
大人のためのかわいいお買い物アプリSUCRESIA(シュクレシア）,,0.0
天猫-购物,,0.0
天猫HD,,0.0
如意夺宝,,0.0
尚品网 - 全球精品高端时尚购物网站,,0.0
当当-正品秒杀，首单立减5元,,0.0
手机京东-首次购买可领取188元优惠券,,0.0
拼多多 - 1亿人都在拼的购物App,,0.0
棒棒糖-宝宝的世界衣橱,,0.0
洋码头—正品保证海外买手带你全球购洋货,,0.0
淘宝 - 随时随地，想淘就淘,,0.0
淘宝HD－Taobao for iPad,,0.0
网易考拉海购—新人免费领取1000元优惠券,,0.0
美丽说-潮流穿搭快人一步,,0.0
聚美优品-新用户专享160元现金券,,0.0
花粉儿-女性、母婴闲置交易平台,,0.0
苏宁易购-新人专享大礼包,,0.0
萌店-朋友圈的美味生活,,0.0
蘑菇街-网红直播搭配的购物特卖平台,,0.0
蜜芽 - 生娃养娃上蜜芽,,0.0
贝贝-8000万妈妈信赖的母婴正品特卖拼团商城,,0.0
转转-更专业的二手闲置交易平台,,0.0
达令全球好货－正品免税，带你购全球,,0.0
返利-专注网购省钱的APP,,0.0
闲鱼-让你的闲置游起来,,0.0
零钱夺宝pro-新手99元红包助你1元购,,0.0
